"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"error"	"qval_individual"	"model"	"N"	"N.not.zero"	"pval_joint"	"qval_joint"
"Feature37"	"Metadata_5"	"1"	"Metadata_51"	-0.5900470290043	0.631703687845417	0.35428489094729	NA	0.902020216048347	"abundance"	100	62	0.0513608499381007	0.448148592597154
"Feature37"	"Metadata_5"	"1"	"Metadata_51"	-0.951927634430852	0.427654028201588	0.0260189169897091	NA	0.361825564388142	"prevalence"	100	62	0.0513608499381007	0.448148592597154
"Feature43"	"Metadata_5"	"1"	"Metadata_51"	3.95924460331183	1.46992881608067	0.0273482103560889	NA	0.327084595858823	"abundance"	100	14	0.0530189019087775	0.453719449027038
"Feature43"	"Metadata_5"	"1"	"Metadata_51"	-1.3928377356421	0.629276776720563	0.026870461813422	NA	0.362344106271903	"prevalence"	100	14	0.0530189019087775	0.453719449027038
"Feature51"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.630026111554653	0.283842130120994	0.0309167625349601	NA	0.355542769152041	"abundance"	100	57	0.060877678864277	0.511142775369873
"Feature51"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.0418144474224582	0.221925068488199	0.850549803268898	NA	0.999068586141785	"prevalence"	100	57	0.060877678864277	0.511142775369873
"Feature96"	"Metadata_1"	"1"	"Metadata_11"	-1.96809198282066	1.05605566634946	0.0623743522005164	NA	0.616813038427329	"prevalence"	100	5	0.0623743522005164	0.514010865356108
"Feature81"	"Metadata_4"	"Metadata_4"	"Metadata_4"	5.06709641708813	3.48700310213313	0.383715819564411	NA	0.910563730553643	"abundance"	100	6	0.0648455902617484	0.524659775754146
"Feature81"	"Metadata_4"	"Metadata_4"	"Metadata_4"	0.965595210196152	0.452800703034188	0.0329661796305925	NA	0.419141426731818	"prevalence"	100	6	0.0648455902617484	0.524659775754146
"Feature82"	"Metadata_5"	"1"	"Metadata_51"	-0.233748061001612	1.05688534598804	0.826626569454096	NA	0.990158682521849	"abundance"	100	33	0.071932352483293	0.571605300983311
"Feature82"	"Metadata_5"	"1"	"Metadata_51"	1.26514976330519	0.60539775529726	0.0366373229584265	NA	0.449891519175184	"prevalence"	100	33	0.071932352483293	0.571605300983311
"Feature95"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.00395302507222921	0.287696427510479	0.989107250619612	NA	0.995767905505939	"abundance"	100	45	0.073538627661699	0.574117356306246
"Feature95"	"Metadata_4"	"Metadata_4"	"Metadata_4"	-0.464692958094721	0.223346623774686	0.0374713654450061	NA	0.449891519175184	"prevalence"	100	45	0.073538627661699	0.574117356306246
"Feature18"	"Metadata_1"	"1"	"Metadata_11"	0.939919361183221	1.02118908315996	0.377098752528573	NA	0.902020216048347	"abundance"	100	17	0.0753594856366193	0.578189157039579
"Feature18"	"Metadata_1"	"1"	"Metadata_11"	1.18402051022114	0.571888344724641	0.0384177027610269	NA	0.449891519175184	"prevalence"	100	17	0.0753594856366193	0.578189157039579
"Feature39"	"Metadata_1"	"1"	"Metadata_11"	-2.4070117832616	1.10985277548721	0.0417301496033317	NA	0.462122767829488	"abundance"	100	27	0.081718893820747	0.616354368648007
"Feature39"	"Metadata_1"	"1"	"Metadata_11"	-0.0255382841977711	0.65739757357569	0.969011935112572	NA	0.999068586141785	"prevalence"	100	27	0.081718893820747	0.616354368648007
"Feature15"	"Metadata_5"	"1"	"Metadata_51"	0.63814461787462	1.15578010841186	0.590223571939339	NA	0.951526956327702	"abundance"	100	19	0.0845186291730261	0.626846499699944
"Feature15"	"Metadata_5"	"1"	"Metadata_51"	1.12385904717457	0.555857433363305	0.0431920930369702	NA	0.480512035036293	"prevalence"	100	19	0.0845186291730261	0.626846499699944
"Feature40"	"Metadata_1"	"1"	"Metadata_11"	-1.96540657242123	0.95760709467299	0.0441602547318038	NA	0.471568434457477	"abundance"	100	71	0.0863703813656299	0.630079011601726
"Feature40"	"Metadata_1"	"1"	"Metadata_11"	-0.235491539678629	0.442672580591526	0.594742068906427	NA	0.999068586141785	"prevalence"	100	71	0.0863703813656299	0.630079011601726
"Feature59"	"Metadata_1"	"1"	"Metadata_11"	-1.84404629419301	0.764813267165837	0.0466980383956942	NA	0.481472878631467	"abundance"	100	13	0.0912153700013826	0.646310057835591
"Feature46"	"Metadata_5"	"1"	"Metadata_51"	1.70737420296756	1.01175491584893	0.0915000756036904	NA	0.783029493146966	"prevalence"	100	5	0.0915000756036904	0.646310057835591
"Feature59"	"Metadata_1"	"1"	"Metadata_11"	-0.297335164859048	0.579273248758485	0.60774847922162	NA	0.999068586141785	"prevalence"	100	13	0.0912153700013826	0.646310057835591
"Feature67"	"Metadata_3"	"Metadata_3"	"Metadata_3"	0.656036066799968	0.443156514355675	0.146608402528954	NA	0.791629669380676	"abundance"	100	46	0.0951715938568007	0.661739988535567
"Feature67"	"Metadata_3"	"Metadata_3"	"Metadata_3"	-0.442719055136746	0.224667702528078	0.048775312482272	NA	0.52939058669783	"prevalence"	100	46	0.0951715938568007	0.661739988535567
"Feature79"	"Metadata_5"	"1"	"Metadata_51"	1.29221775167264	0.617899903605133	0.0501701746135731	NA	0.500029406981945	"abundance"	100	25	0.0978233028063898	0.669713380751438
"Feature79"	"Metadata_5"	"1"	"Metadata_51"	-0.332513680090606	0.455907796626383	0.465791177822017	NA	0.999068586141785	"prevalence"	100	25	0.0978233028063898	0.669713380751438
